domain,beta_f,cells,velocity_l2,temperature_l2,boundary_heat_flux,divergence_l2,flux_imbalance,snes_iterations
l_shape,0.0,1758,1.2244762109778313,0.7985661016938751,0.2789035698587855,3.711014670912812e-15,2.853263129424499e-17,142
l_shape,1.0,1758,1.0298389027935335,0.8268394301023548,0.28218887060686887,3.4068447872247146e-15,5.921759316979254e-17,143
l_shape,10.0,1758,0.63810363093272,0.9551742598154878,0.29634848244863393,1.9727160634060645e-15,1.3708636739786943e-17,150
l_shape,100.0,1758,0.3239040184046393,1.2253285476776345,0.21159422601644975,1.0052940684623116e-15,6.926186527913357e-18,150
obstacle_enclosure,0.0,2544,2.4177376087839737,0.9780143966601794,0.3453273946469833,9.488756749552795e-15,2.1550671212870524e-16,139
obstacle_enclosure,1.0,2544,1.878168367690682,1.0376581665431803,0.3617452286874185,9.34679277393338e-15,2.68720446120528e-16,143
obstacle_enclosure,10.0,2544,1.1151393752371495,1.281941439319979,0.2920432253975002,4.2829512090699224e-15,8.483426380187769e-17,150
obstacle_enclosure,100.0,2544,0.4953848939886985,1.613699724716395,0.06455092284032952,1.7549969897002095e-15,2.5475822683336787e-17,150
