n,h,dt,u_l2,u_dg,p_l2,T_l2,T_h1,divergence_l2,flux_imbalance,snes_iterations
8,0.1767766952966369,0.025,0.14264195229934357,1.2807974109646674,3.5094966712891824,0.008011138368874139,0.15887007757458077,9.171947447016606e-16,3.642919299551295e-17,79
16,0.08838834764831845,0.0125,0.04687626465406024,0.6535140880441735,2.2629564556679904,0.0020444088376643603,0.08003468880077058,2.0211721907877613e-15,2.7159264420761886e-17,158
32,0.04419417382415922,0.00625,0.012933110269764568,0.3231052856733547,1.2386824243344525,0.0005140893148860707,0.04009121720896267,4.0973064318208244e-15,1.3369568039461877e-17,318
64,0.02209708691207961,0.003125,0.0033301096442321576,0.16062238430082398,0.636383600389309,0.00012872396210176362,0.020054667493406206,7.710809464831352e-15,1.903505378629067e-17,638
